Site,Compound group,Duration,Flow rate,Remark,Sample ID
TW,CL,1440,0.7047,,TWSCLS20142504
TW,CL,1440,0.7047,,TWSCLS20142504
TW,CL,1440,0.7047,,TWSCLS20142504
TW,CL,1440,0.7047,,TWSCLS20142504
TW,CL,1440,0.7047,,TWSCLS20142504
TW,CL,1440,0.7047,,TWSCLS20142504
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
CW,CL,1440,0.6965,,CWSCLS20140705
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
TW,CL,1440,0.743,,TWSCLS20141905
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6969,,CWSCLS20141806A1
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
CW,CL,1440,0.6927,Co-location,CWSCLS20141806A2
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7599,,TWSCLS20141206A1
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
TW,CL,1440,0.7587,Co-location,TWSCLS20141206A2
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
CW,CL,1440,0.6969,,CWSCLS20140607
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
TW,CL,1440,0.6975,,TWSCLS20142907
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
CW,CL,1440,0.694,,CWSCLS20141708
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
TW,CL,1440,0.7015,,TWSCLS20140508
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6924,,CWSCLS20142209A1
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
CW,CL,1440,0.6951,Co-location,CWSCLS20142209A2
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7014,,TWSCLS20141609A1
TW,CL,1440,0.7019,Co-location,TWSCLS20141609A2
TW,CL,1440,0.7019,Co-location,TWSCLS20141609A2
TW,CL,1440,0.7019,Co-location,TWSCLS20141609A2
TW,CL,1440,0.7019,Co-location,TWSCLS20141609A2
TW,CL,1440,0.7019,Co-location,TWSCLS20141609A2
TW,CL,1440,0.7019,Co-location,TWSCLS20141609A2
TW,CL,1440,0.7019,Co-location,TWSCLS20141609A2
TW,CL,1440,0.7019,Co-location,TWSCLS20141609A2
TW,CL,1440,0.7019,Co-location,TWSCLS20141609A2
TW,CL,1440,0.7019,Co-location,TWSCLS20141609A2
TW,CL,1440,0.7019,Co-location,TWSCLS20141609A2
TW,CL,1440,0.7019,Co-location,TWSCLS20141609A2
TW,CL,1440,0.7019,Co-location,TWSCLS20141609A2
TW,CL,1440,0.7019,Co-location,TWSCLS20141609A2
